date,cpi,permits,home_sales,price_index
2020-09-01,342.99,1643.0,,
1988-04-01,126.9,1429.0,,
1995-10-01,158.8,1400.0,,
1999-04-01,176.4,1600.0,,
2012-03-01,258.335,806.0,,
1988-11-01,129.5,1508.0,,
1993-11-01,151.5,1357.0,,
1997-08-01,167.3,1449.0,,
1992-11-01,148.4,1118.0,,
1993-04-01,149.7,1104.0,,
2016-09-01,299.035,1303.0,,
1986-05-01,117.8,1797.0,,
1990-05-01,137.6,1067.0,,
1992-08-01,147.0,1075.0,,
2005-02-01,214.9,2114.0,,
2005-08-01,218.1,2219.0,,
2022-03-01,360.965,1877.0,,
1981-11-01,90.6,748.0,,
1987-04-01,122.2,1601.0,,
2001-02-01,188.7,1656.0,,
2012-04-01,258.977,732.0,,
2020-02-01,338.465,1440.0,,
1992-03-01,146.5,1082.0,,
1995-08-01,158.2,1386.0,,
2003-10-01,206.9,2012.0,,
2005-11-01,219.9,2218.0,,
2015-03-01,283.056,1072.0,,
2023-05-01,397.07,1496.0,4230000.0,4230000.0
1990-08-01,139.3,1069.0,,
2008-10-01,245.914,736.0,,
1984-06-01,105.1,1814.0,,
1997-05-01,166.0,1414.0,,
2003-11-01,207.4,1918.0,,
1982-06-01,94.3,913.0,,
1986-01-01,115.4,1847.0,,
1987-05-01,122.5,1500.0,,
1988-08-01,128.4,1460.0,,
1992-09-01,147.1,1114.0,,
2000-11-01,186.7,1614.0,,
2010-01-01,248.721,636.0,,
1989-01-01,130.4,1466.0,,
1994-01-01,152.2,1390.0,,
2003-05-01,205.0,1835.0,,
2023-08-01,402.813,1541.0,4030000.0,4030000.0
1982-08-01,95.5,926.0,,
1989-10-01,134.4,1365.0,,
2010-11-01,250.182,560.0,,
2005-12-01,220.3,2120.0,,
2008-03-01,240.68,967.0,,
1988-02-01,126.2,1438.0,,
2010-07-01,249.458,579.0,,
2003-08-01,206.2,1966.0,,
2016-05-01,295.371,1205.0,,
1982-12-01,97.4,1351.0,,
1997-03-01,165.1,1436.0,,
1998-11-01,174.4,1672.0,,
2013-12-01,271.22,1005.0,,
2002-07-01,200.0,1738.0,,
2003-07-01,205.8,1885.0,,
2018-07-01,319.642,1333.0,,
1987-02-01,121.6,1689.0,,
2013-09-01,269.315,1004.0,,
2002-02-01,197.5,1787.0,,
1995-06-01,157.6,1305.0,,
2006-07-01,225.4,1763.0,,
2010-02-01,248.717,650.0,,
2021-01-01,344.415,1866.0,,
2022-09-01,376.705,1588.0,,
2015-07-01,286.435,1140.0,,
1999-06-01,177.2,1702.0,,
2019-07-01,331.935,1347.0,,
1989-12-01,135.3,1422.0,,
1993-06-01,150.4,1130.0,,
2018-03-01,315.885,1381.0,,
1983-11-01,101.7,1668.0,,
2012-02-01,257.842,738.0,,
2017-10-01,311.33,1360.0,,
1993-05-01,150.0,1112.0,,
2007-07-01,234.996,1361.0,,
2009-07-01,249.343,595.0,,
2011-07-01,253.423,621.0,,
1982-09-01,95.7,1042.0,,
1987-06-01,122.5,1522.0,,
1988-09-01,128.9,1436.0,,
2002-12-01,202.4,1896.0,,
2004-05-01,210.3,2150.0,,
1998-12-01,174.8,1742.0,,
1984-10-01,107.0,1490.0,,
1985-06-01,111.6,1716.0,,
1998-09-01,173.4,1577.0,,
2002-04-01,198.5,1669.0,,
2004-01-01,208.1,1952.0,,
2009-08-01,249.359,616.0,,
2017-08-01,309.608,1336.0,,
1985-10-01,113.8,1743.0,,
1989-04-01,131.6,1376.0,,
1996-08-01,162.5,1413.0,,
2013-11-01,270.387,1029.0,,
2022-08-01,373.742,1586.0,,
2004-03-01,209.1,2066.0,,
1985-09-01,113.0,1916.0,,
1992-10-01,147.9,1132.0,,
1993-02-01,149.1,1148.0,,
1998-04-01,170.8,1547.0,,
1988-10-01,129.1,1516.0,,
1995-04-01,157.0,1259.0,,
2020-08-01,342.67,1564.0,,
1984-11-01,107.4,1643.0,,
1987-07-01,123.0,1516.0,,
1996-02-01,160.3,1420.0,,
2009-04-01,248.837,521.0,,
1988-01-01,125.9,1244.0,,
1996-12-01,163.9,1411.0,,
1987-08-01,123.8,1511.0,,
2002-03-01,198.1,1691.0,,
2013-04-01,266.094,1012.0,,
2004-02-01,208.6,1966.0,,
2010-08-01,249.346,580.0,,
2010-04-01,248.962,637.0,,
2016-04-01,294.397,1160.0,,
2016-11-01,301.223,1230.0,,
1986-03-01,116.4,1780.0,,
1999-11-01,179.7,1672.0,,
1986-09-01,119.4,1686.0,,
1996-06-01,161.8,1429.0,,
2011-02-01,251.516,542.0,,
2011-12-01,256.8,697.0,,
2014-04-01,274.255,1090.0,,
1990-12-01,141.0,861.0,,
1997-09-01,167.8,1494.0,,
2015-10-01,289.236,1160.0,,
1994-11-01,155.5,1340.0,,
2012-05-01,259.481,796.0,,
1995-09-01,158.5,1421.0,,
2000-01-01,180.9,1727.0,,
1992-02-01,145.7,1146.0,,
1993-01-01,148.9,1177.0,,
1982-11-01,97.0,1229.0,,
2010-06-01,249.327,587.0,,
2001-05-01,191.1,1665.0,,
2011-05-01,252.584,618.0,,
2020-05-01,341.094,1253.0,,
1984-01-01,102.5,1816.0,,
2023-03-01,392.746,1437.0,4350000.0,4350000.0
2023-12-01,409.972,1493.0,3880000.0,3880000.0
1989-09-01,133.7,1314.0,,
2020-12-01,344.087,1760.0,,
1998-07-01,172.3,1610.0,,
2005-04-01,216.0,2150.0,,
2006-03-01,222.2,2118.0,,
1982-03-01,92.9,891.0,,
2008-07-01,243.675,921.0,,
2020-03-01,339.51,1348.0,,
1981-05-01,87.1,1173.0,,
1987-11-01,124.6,1457.0,,
1988-06-01,127.6,1485.0,,
1982-05-01,93.8,953.0,,
1990-01-01,135.8,1748.0,,
2006-09-01,227.2,1655.0,,
2019-04-01,328.816,1298.0,,
2020-04-01,340.252,1050.0,,
1982-04-01,93.2,888.0,,
2017-11-01,312.295,1295.0,,
2021-03-01,345.653,1731.0,,
1990-07-01,138.7,1078.0,,
2009-03-01,248.396,513.0,,
2012-08-01,260.999,840.0,,
2020-07-01,342.324,1526.0,,
2004-06-01,210.9,2020.0,,
2013-02-01,264.904,980.0,,
2014-07-01,276.663,1076.0,,
1991-06-01,143.2,964.0,,
2022-10-01,379.311,1555.0,,
2001-08-01,193.2,1615.0,,
2002-01-01,196.8,1665.0,,
2006-01-01,220.8,2212.0,,
1990-09-01,139.7,976.0,,
1993-08-01,150.8,1230.0,,
1995-03-01,156.6,1226.0,,
2013-01-01,264.245,940.0,,
2011-04-01,252.203,581.0,,
1989-05-01,132.0,1381.0,,
1989-07-01,133.0,1283.0,,
1985-01-01,108.5,1660.0,,
1995-05-01,157.3,1271.0,,
1985-12-01,115.0,1794.0,,
2013-07-01,267.87,997.0,,
2008-11-01,246.556,626.0,,
2011-06-01,252.986,636.0,,
2019-12-01,336.418,1461.0,,
1990-02-01,136.1,1329.0,,
2005-01-01,214.3,2139.0,,
1996-04-01,160.9,1463.0,,
2007-12-01,238.873,1149.0,,
2012-06-01,259.893,794.0,,
2013-10-01,269.822,1044.0,,
2003-01-01,203.2,1808.0,,
2007-10-01,237.18,1192.0,,
2005-03-01,215.4,2062.0,,
2019-01-01,325.314,1254.0,,
1999-05-01,176.8,1640.0,,
2008-09-01,245.175,797.0,,
2021-10-01,352.774,1727.0,,
2023-07-01,400.873,1443.0,4050000.0,4050000.0
1990-04-01,137.2,1136.0,,
1996-03-01,160.6,1437.0,,
2009-11-01,248.778,623.0,,
1994-04-01,153.3,1392.0,,
2004-12-01,213.7,2082.0,,
2015-09-01,288.385,1144.0,,
1985-11-01,114.6,1692.0,,
1988-12-01,129.9,1501.0,,
1991-07-01,143.7,973.0,,
1997-04-01,165.6,1421.0,,
1999-01-01,175.2,1732.0,,
2000-03-01,181.9,1651.0,,
2012-01-01,257.267,712.0,,
1993-12-01,151.9,1461.0,,
2023-11-01,408.366,1467.0,3910000.0,3910000.0
2014-03-01,273.341,1067.0,,
2022-04-01,363.055,1795.0,,
1981-03-01,85.9,1183.0,,
1983-05-01,99.5,1669.0,,
1994-08-01,154.5,1377.0,,
2022-12-01,385.125,1409.0,,
1996-05-01,161.3,1457.0,,
2016-07-01,297.192,1198.0,,
2001-01-01,188.0,1699.0,,
1999-10-01,178.8,1649.0,,
2001-04-01,190.2,1666.0,,
2012-12-01,263.669,941.0,,
2017-07-01,308.49,1254.0,,
1981-02-01,85.2,1199.0,,
2015-05-01,284.559,1272.0,,
2019-05-01,329.617,1338.0,,
2023-10-01,406.561,1498.0,3850000.0,3850000.0
2013-03-01,265.603,936.0,,
2003-06-01,205.3,1875.0,,
1992-06-01,146.7,1057.0,,
2001-10-01,194.7,1566.0,,
2012-07-01,260.476,849.0,,
1991-09-01,144.4,974.0,,
2003-12-01,207.7,1987.0,,
2010-10-01,249.66,558.0,,
2020-01-01,337.531,1500.0,,
2021-09-01,351.354,1636.0,,
1983-10-01,101.3,1716.0,,
1997-12-01,169.0,1456.0,,
2018-01-01,314.531,1311.0,,
1996-10-01,163.2,1358.0,,
1998-02-01,169.8,1647.0,,
2002-10-01,201.3,1799.0,,
2007-11-01,238.063,1224.0,,
2022-01-01,357.322,1898.0,,
1989-06-01,132.6,1322.0,,
2000-10-01,186.1,1577.0,,
2001-06-01,191.8,1626.0,,
2013-05-01,266.841,1003.0,,
1992-01-01,145.4,1077.0,,
1992-05-01,146.5,1056.0,,
1992-12-01,148.5,1176.0,,
1994-02-01,152.7,1269.0,,
1996-09-01,162.9,1392.0,,
2000-06-01,183.4,1572.0,,
2008-05-01,241.927,995.0,,
2017-03-01,304.888,1273.0,,
1984-07-01,105.6,1605.0,,
1989-02-01,130.9,1383.0,,
1999-07-01,177.6,1682.0,,
1991-08-01,143.7,944.0,,
2001-12-01,196.2,1680.0,,
2006-08-01,226.3,1722.0,,
1985-04-01,110.2,1664.0,,
2008-04-01,241.437,1008.0,,
2011-11-01,256.207,706.0,,
1981-09-01,89.5,847.0,,
1983-08-01,100.6,1713.0,,
2020-10-01,343.498,1622.0,,
1991-01-01,141.2,786.0,,
2019-03-01,327.539,1291.0,,
1993-07-01,150.4,1174.0,,
2016-12-01,302.271,1248.0,,
1982-02-01,92.3,808.0,,
1994-12-01,155.7,1396.0,,
2014-10-01,278.797,1094.0,,
2016-02-01,292.617,1172.0,,
2017-09-01,310.346,1277.0,,
